Window ID,True Label,Predicted Label,Alert Type,Event Sequence,Technique IDs,Technique Names,Tactics,Data Sources,Reasons
39,0,1,False Positive,KERNEL_TIME_SYNC EVENT_f5c6ea73,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
40,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
41,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
42,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
43,0,1,False Positive,EVENT_5cec81bf EVENT_735263fa EVENT_ea3e4c85 EVENT_735263fa,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
44,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
45,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
46,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
47,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
48,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
49,0,1,False Positive,EVENT_4b246f20 EVENT_24da8a29 EVENT_f7c0b007 EVENT_655b0883 KERNEL_TIME_SYNC EVENT_15879ba7 EVENT_8517948b EVENT_853f0e2d DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
50,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
51,0,1,False Positive,UNKNOWN_USER AUTH_FAIL UNKNOWN_USER AUTH_FAIL,T1110,Brute Force,credential-access,,Mapped from Linux semantic token.
52,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
53,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
54,0,1,False Positive,EVENT_b52b9c71 TTY_PEER_DIED,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
55,0,1,False Positive,SESSION_CLOSE SESSION_OPEN,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
56,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
57,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
58,0,1,False Positive,EVENT_0e8eb195 EVENT_e09949fa,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
59,0,1,False Positive,UNKNOWN_USER AUTH_FAIL,T1110,Brute Force,credential-access,,Mapped from Linux semantic token.
60,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
61,0,1,False Positive,FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION,T1133,External Remote Services,initial-access; persistence,,Mapped from Linux semantic token.
62,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
63,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
64,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
65,0,1,False Positive,UNKNOWN_USER AUTH_FAIL UNKNOWN_USER AUTH_FAIL,T1110,Brute Force,credential-access,,Mapped from Linux semantic token.
66,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
67,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
68,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
69,0,1,False Positive,DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE SESSION_CLOSE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE EVENT_2a70c8fd EVENT_2c67d635 DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE EVENT_cc67d624 DEVICE_NODE_REMOVE EVENT_59bfc37a EVENT_1bc825da EVENT_648310d8 EVENT_b05754fa EVENT_0657d962 EVENT_695d8251 EVENT_3924bf80 DEVICE_NODE_REMOVE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
70,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
71,0,1,False Positive,DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
72,0,1,False Positive,EVENT_b97f359a EVENT_9808beac EVENT_6b878d6c EVENT_f0832ece EVENT_24406284 EVENT_82fec567 EVENT_52e09b9d EVENT_d5010182 EVENT_335ca259 EVENT_f681d323 EVENT_94079a98 EVENT_c0d9ffbe EVENT_bfcc4c57 EVENT_88f75265,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
73,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
74,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
75,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
76,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
77,0,1,False Positive,TTY_TIMEOUT TTY_TIMEOUT,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
78,0,1,False Positive,SESSION_CLOSE SSHD_EVENT,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
79,0,1,False Positive,EVENT_b97f359a EVENT_6b878d6c EVENT_9808beac EVENT_f0832ece EVENT_88f75265 EVENT_c0d9ffbe EVENT_94079a98 EVENT_24406284 EVENT_bfcc4c57 EVENT_f681d323 EVENT_d5010182 EVENT_335ca259 EVENT_52e09b9d EVENT_82fec567,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
80,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
81,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
82,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
83,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
84,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
85,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
86,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
87,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
88,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
89,0,1,False Positive,SESSION_CLOSE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
90,0,1,False Positive,EVENT_2a70c8fd EVENT_2c67d635 DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE EVENT_cc67d624 DEVICE_NODE_REMOVE EVENT_59bfc37a EVENT_1bc825da EVENT_648310d8 EVENT_b05754fa EVENT_0657d962 EVENT_695d8251 EVENT_3924bf80 DEVICE_NODE_REMOVE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
91,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
92,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
93,0,1,False Positive,UNKNOWN_USER AUTH_FAIL,T1110,Brute Force,credential-access,,Mapped from Linux semantic token.
94,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
95,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
96,0,1,False Positive,FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION,T1133,External Remote Services,initial-access; persistence,,Mapped from Linux semantic token.
97,0,1,False Positive,SESSION_CLOSE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE EVENT_2a70c8fd EVENT_2c67d635 EVENT_cc67d624 EVENT_59bfc37a EVENT_1bc825da,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
98,0,1,False Positive,EVENT_a132837a EVENT_268d53fc EVENT_7e4970eb EVENT_d1429da6 TTY_PEER_DIED EVENT_ebb83b14 FTP_CONNECTION EVENT_e40c5373 EVENT_6516e5aa EVENT_d9f1af4c KERBEROS_AUTH_FAIL EVENT_d9f1af4c KERBEROS_AUTH_FAIL EVENT_82f006b4 EVENT_82f006b4,T1110; T1133,Brute Force; External Remote Services,credential-access; initial-access; persistence,,Mapped from Linux semantic token. | Mapped from Linux semantic token.
99,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
100,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
101,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
102,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
103,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
104,0,1,False Positive,TTY_TIMEOUT TTY_TIMEOUT,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
105,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
106,0,1,False Positive,TTY_TIMEOUT TTY_TIMEOUT,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
107,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
108,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
109,0,1,False Positive,KERNEL_TIME_SYNC EVENT_f5c6ea73,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
110,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
111,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
112,0,1,False Positive,EVENT_b52b9c71 EVENT_c80127b9 SYSTEM_INFO SESSION_OPEN EVENT_496e5f6d,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
113,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
114,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
115,0,1,False Positive,ROOT_AUTH_FAIL SSHD_EVENT,T1078; T1110,Valid Accounts; Brute Force,credential-access; defense-evasion; initial-access; persistence; privilege-escalation,Logon Session; User Account,Root account authentication activity was observed. Mapped from Linux semantic token. | Mapped from Linux semantic token.
116,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
117,0,1,False Positive,AUTH_FAIL_USER SESSION_OPEN,T1110,Brute Force,credential-access,,Mapped from Linux semantic token.
118,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
119,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
120,0,1,False Positive,FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION FTP_CONNECTION,T1133,External Remote Services,initial-access; persistence,,Mapped from Linux semantic token.
121,0,1,False Positive,AUTH_FAIL_USER AUTH_FAIL_USER AUTH_FAIL_USER,T1110,Brute Force,credential-access,,Mapped from Linux semantic token.
122,0,1,False Positive,EVENT_ea3e4c85 EVENT_03649f38,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
123,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
124,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
125,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
126,0,1,False Positive,EVENT_ea3e4c85 EVENT_03649f38 EVENT_ea3e4c85 EVENT_03649f38,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
127,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
128,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
129,0,1,False Positive,EVENT_ea3e4c85 EVENT_03649f38 EVENT_ea3e4c85 EVENT_03649f38,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
130,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
131,0,1,False Positive,SESSION_OPEN TTY_TIMEOUT,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
132,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
133,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
134,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
135,0,1,False Positive,TTY_TIMEOUT TTY_TIMEOUT,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
136,0,1,False Positive,DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE DEVICE_NODE_REMOVE DEVICE_NODE_REMOVE DEVICE_NODE_CREATE DEVICE_NODE_CREATE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
137,0,1,False Positive,EVENT_6c31fad9 EVENT_f3dc4e72 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 EVENT_27a754c7 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 DNS_LISTEN_IPV4 EVENT_e7715c43 EVENT_e7715c43 EVENT_75101dcd,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
138,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
139,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
140,0,1,False Positive,TTY_PEER_DIED TTY_PEER_DIED,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
141,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
142,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
143,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
144,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
145,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
146,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
147,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
148,0,1,False Positive,SESSION_OPEN SESSION_CLOSE,No MITRE Mapping,No MITRE Mapping,,,No ATT&CK-mappable semantic behavior found
